,Sector,Growth (%),Close,Count
0,Communication Services,789.7704545454545,234.64531466158184,26
1,Consumer Discretionary,593.12,276.31517927991473,61
2,Consumer Staples,355.3083870967742,89.49876191624266,33
3,Energy,54.6195,35.13523208166771,26
4,Financials,388.9695081967213,100.73017055078543,66
5,Health Care,701.788275862069,188.40700303538222,62
6,Industrials,495.9751428571429,125.74945669162275,73
7,Information Technology,796.4656060606061,141.29632042653404,71
8,Materials,297.59714285714284,90.86892199899974,28
9,Real Estate,295.7758620689655,113.20908339881143,31
10,Utilities,275.1014285714286,64.47257541344706,28
